Rank,Journal
142,Journal of Economic Perspectives
143,Living Reviews in Solar Physics
144,Nature Protocols
145,Annual Review of Genetics
146,Nature Sustainability
147,Gastroenterology
148,Annual Review of Clinical Psychology
149,Lancet Digital Health
150,Nature Reviews Endocrinology
151,The Innovation
152,ACS Energy Letters
153,Genome Biology
154,Journal of the Academy of Marketing Science
155,Nature Metabolism
156,Annals of Mathematics
157,Nature Structural and Molecular Biology
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques
159,Nucleic Acids Research
160,Nature Chemistry
161,European Urology
162,Annual Review of Physiology
163,Journal of Experimental Medicine
164,Materials Science and Engineering: R: Reports
165,Electrochemical Energy Reviews
166,Fungal Diversity
167,Clinical Microbiology Reviews
168,Organizational Research Methods
169,International Journal of Computer Vision
170,Journal of the European Economic Association
171,Journal of Accounting Research
172,Science Robotics
173,Journal of Monetary Economics
174,Chem
175,American Economic Journal: Economic Policy
176,Science Translational Medicine
177,Nano-Micro Letters
178,Annual Review of Cell and Developmental Biology
179,Journal of Applied Psychology
180,Physics Reports
181,Journal of the American Mathematical Society
182,Neuro-Oncology
183,Lancet Infectious Diseases
184,Review of Asset Pricing Studies
185,ACM Computing Surveys
186,Advances in Methods and Practices in Psychological Science
187,JAMA Psychiatry
188,Nature Reviews Neurology
189,Intensive Care Medicine
190,JAMA Cardiology
191,Lancet Global Health
192,Progress in Polymer Science
193,Advanced Powder Materials
194,JAMA Neurology
195,IEEE Transactions on Pattern Analysis and Machine Intelligence
196,Philosophical Review
197,Annals of the Rheumatic Diseases
198,Progress in Energy and Combustion Science
199,Nature Human Behaviour
200,Proceedings of the IEEE
201,Journal of Labor Economics
202,Foundations and Trends in Signal Processing
203,Pharmacological Reviews
204,Trends in Cell Biology
205,Journal of Marketing Research
206,Molecular Plant
207,Materials Today
208,Accounts of Chemical Research
209,Nature Machine Intelligence
210,Nature Reviews Nephrology
211,JAMA - Journal of the American Medical Association
212,IEEE Wireless Communications
213,Progress in Retinal and Eye Research
214,European Journal of Heart Failure
215,Annual Review of Entomology
216,Physical Review X
217,Nature Geoscience
218,Developmental Cell
219,Annual Review of Political Science
220,Entrepreneurship Theory and Practice
221,International Journal of Information Management
222,Review of Educational Research
223,JACC: Heart Failure
224,Nature Aging
225,Diabetes Care
226,InfoMat
227,Clinical Psychology Review
228,Information Fusion
229,Marketing Science
230,IEEE Transactions on Cybernetics
231,Organization Science
232,IEEE Communications Magazine
233,NCHS data brief
234,Perspectives on Psychological Science
235,Annual Review of Biophysics
236,Nature Chemical Biology
237,Nature Reviews Psychology
238,Annual Review of Environment and Resources
239,Advanced Functional Materials
240,JAMA Pediatrics
241,EMBO Journal
242,Journal of the American Chemical Society
243,Review of Accounting Studies
244,Annual Review of Medicine
245,Manufacturing and Service Operations Management
246,Annual Review of Earth and Planetary Sciences
247,Annual Review of Public Health
248,Management Science
249,Journal of Consumer Research
250,Review of Corporate Finance Studies
251,Annual Review of Ecology
252,Lancet Microbe
253,Energy Storage Materials
254,IEEE Transactions on Wireless Communications
255,Advanced Photonics
256,Organization Studies
257,American Journal of Respiratory and Critical Care Medicine
258,Annals of Statistics
259,Molecular Systems Biology
260,Angewandte Chemie - International Edition
261,EnergyChem
262,Blood
263,IEEE Transactions on Evolutionary Computation
264,Molecular Neurodegeneration
265,Mycosphere
266,Carbon Energy
267,Reports on Progress in Physics
268,Light: Science and Applications
269,Trends in Ecology and Evolution
270,Journal of Public Economics
271,Nature Plants
272,Brookings Papers on Economic Activity
273,Applied Catalysis B: Environmental
274,Psychotherapy and Psychosomatics
275,American Political Science Review
276,Lancet Planetary Health
277,Nature Ecology and Evolution
278,Matter
279,Analytic Methods in Accident Research
280,Foundations and Trends in Systems and Control
281,Genes and Development
282,Hepatology
283,Journal of the National Cancer Institute
284,Genome Medicine
285,Radiocarbon
286,Lancet Regional Health - Europe
287,PRX Quantum
288,Foundations and Trends in Computer Graphics and Vision
289,Cancer Communications
290,Journal of Service Research
291,International Organization
292,Circulation Research
293,IEEE Signal Processing Magazine
294,Annual Review of Marine Science
295,Nature Food
296,Trends in Neurosciences
297,Nature Communications
298,Cell Systems
299,IEEE Transactions on Smart Grid
300,Annual Review of Financial Economics
301,Cellular and Molecular Immunology
302,Journal of Clinical Investigation
303,Studies in Mycology
304,Nature reviews. Rheumatology
305,Acta Mathematica
306,Journal of Business Venturing
307,Personality and Social Psychology Review
308,Cement and Concrete Research
309,Nature Synthesis
310,Trends in Cognitive Sciences
311,Periodontology 2000
312,Acta Neuropathologica
313,Quantitative Economics
314,Educational Psychologist
315,Annual Review of Physical Chemistry
316,IEEE/CAA Journal of Automatica Sinica
317,British Journal of Sports Medicine
318,Handbook of Industrial Organization
319,Brain
320,Nano Energy
321,Progress in Particle and Nuclear Physics
322,Drug Resistance Updates
323,Ophthalmology
324,Accounting Review
325,Blood cancer discovery
326,JACC: Cardiovascular Imaging
327,Annual Review of Control
328,American Journal of Political Science
329,Clinical Cancer Research
330,GigaScience
331,Political Analysis
332,Computational Visual Media
333,Journal of International Business Studies
334,ACS Nano
335,Carbon Research
336,Journal of International Economics
337,Journal of Management Studies
338,Academy of Management Perspectives
339,Annual Review of Nuclear and Particle Science
340,Journal of Human Resources
341,American Journal of Human Genetics
342,Trends in Cancer
343,Economic Journal
344,IEEE Transactions on Automatic Control
345,Ecology Letters
346,Foundations and Trends in Information Retrieval
347,Science advances
348,IEEE Transactions on Industrial Informatics
349,Protein Science
350,Lancet HIV
351,Protein and Cell
352,Accounts of Materials Research
353,Genome Research
354,Health Affairs
355,Qualitative Research in Psychology
356,Leadership Quarterly
357,IEEE Transactions on Sustainable Energy
358,JAMA Internal Medicine
359,Annual Review of Genomics and Human Genetics
360,Biological Reviews
361,Quarterly Journal of the Royal Meteorological Society
362,International Journal of Robotics Research
363,SmartMat
364,Journal of the Royal Statistical Society. Series B: Statistical Methodology
365,Lancet Healthy Longevity
366,American Journal of Psychiatry
367,Educational Psychology Review
368,Inventiones Mathematicae
369,Journal of the American Academy of Child and Adolescent Psychiatry
370,Journal of Urban Economics
371,Remote Sensing of Environment
372,IEEE Transactions on Communications
373,PhotoniX
374,American Sociological Review
375,Global Change Biology
376,Cell Reports
377,Cell Reports Medicine
378,npj Digital Medicine
379,Journal of Extracellular Vesicles
380,Psychological Methods
381,Earth System Science Data
382,Lancet Child and Adolescent Health
383,IEEE Transactions on Fuzzy Systems
384,Vital and health statistics. Series 2
385,Cell Discovery
386,PLoS Medicine
387,Communications on Pure and Applied Mathematics
388,Information Systems Research
389,IEEE Transactions on Neural Networks and Learning Systems
390,Trends in Immunology
391,Coordination Chemistry Reviews
392,Medical Image Analysis
393,MIS Quarterly: Management Information Systems
394,Cell Death and Differentiation
395,Journal of the National Comprehensive Cancer Network : JNCCN
396,European Heart Journal
397,Annual Review of Microbiology
398,Human Reproduction Update
399,Trends in Biochemical Sciences
400,Molecular Biology and Evolution
401,Communication Methods and Measures
402,Autophagy
403,Annual Review of Virology
404,Transactions of the Association for Computational Linguistics
405,Aggregate
406,IEEE Transactions on Systems
407,Journal of Financial and Quantitative Analysis
408,Blood Cancer Journal
409,EMBO Molecular Medicine
410,Annual Review of Pharmacology and Toxicology
411,Educational Researcher
412,eLife
413,Lancet Haematology
414,Journal of the American Statistical Association
415,Journal of Retailing
416,Advanced Science
417,Strategic Organization
418,JAMA Surgery
419,IEEE Network
420,Molecular Psychiatry
421,Kidney International
422,Educational Research Review
423,Contemporary Educational Psychology
424,RAND Journal of Economics
425,ACS Catalysis
426,American Economic Journal: Microeconomics
427,Digest of Technical Papers - IEEE International Solid-State Circuits Conference
428,IEEE Transactions on Power Systems
429,European Journal of Information Systems
430,PLoS Biology
431,IEEE Journal on Selected Topics in Signal Processing
432,European Respiratory Journal
433,Academy of Management Discoveries
434,Microbiome
435,Advances in Applied Energy
436,Sociological Methods and Research
437,Biological Psychiatry
438,Cancer Immunology Research
439,Duke Mathematical Journal
440,Annual Review of Cancer Biology
441,Personnel Psychology
442,ISPRS Journal of Photogrammetry and Remote Sensing
443,Journal of Development Economics
444,Proceedings of the National Academy of Sciences of the United States of America
445,Molecular Therapy
446,Journal for ImmunoTherapy of Cancer
447,ACS Central Science
448,Journal of Cell Biology
449,Lancet Rheumatology
450,Current Climate Change Reports
451,Nature Cardiovascular Research
452,Arthritis and Rheumatology
453,Archive for Rational Mechanics and Analysis
454,IEEE Transactions on Medical Imaging
455,Journal of Allergy and Clinical Immunology
456,ISME Journal
457,Radiology
458,Trends in Genetics
459,Computer Science Review
460,Eco-Environment and Health
461,Experimental and Molecular Medicine
462,IEEE Transactions on Robotics
463,Cancer Treatment Reviews
464,Business Strategy and the Environment
465,Leukemia
466,Earth-Science Reviews
467,Computers and Education
468,Cement and Concrete Composites
469,Structural Equation Modeling
470,IEEE Transactions on Power Electronics
471,Progress in Lipid Research
472,Strategic Entrepreneurship Journal
473,Advanced Composites and Hybrid Materials
474,Health systems in transition
475,Plant Cell
476,Applied Physics Reviews
477,Journal of Personality and Social Psychology
478,Annals of Neurology
479,Harvard Kennedy School Misinformation Review
480,Liver Cancer
481,Geometric and Functional Analysis
482,Human Relations
483,Renewable and Sustainable Energy Reviews
484,Water Research
485,Review of Economic Dynamics
486,Energy Material Advances
487,Sleep Medicine Reviews
488,Current Opinion in Cell Biology
489,IEEE Transactions on Image Processing
490,Energy Economics
491,Immunological Reviews
492,Optica
493,Journal of Consumer Psychology
494,eClinicalMedicine
495,Research Synthesis Methods
496,Environmental Science &amp; Technology
497,Health Psychology Review
498,Circulation: Heart Failure
499,Automatica
500,Energy and Environmental Materials
501,Sports Medicine
502,Comparative Political Studies
503,Journal of World Business
504,Nano Today
505,International Journal of Machine Tools and Manufacture
506,JAMA network open
507,Wiley Interdisciplinary Reviews: Computational Molecular Science
508,Theoretical Economics
509,Cancer Research
510,Bioactive Materials
511,Journal of Advanced Ceramics
512,Chem Catalysis
513,Soil Biology and Biochemistry
514,Stata Journal
515,Annals of Tourism Research
516,Advanced Drug Delivery Reviews
517,Nano Letters
518,JHEP Reports
519,Journal of the American Society of Nephrology : JASN
520,Journal of Travel Research
521,Alcohol research : current reviews
522,Journal of Product Innovation Management
523,Advanced Fiber Materials
524,IEEE Transactions on Industrial Electronics
525,One Earth
526,Journal of Business and Economic Statistics
527,IEEE Internet of Things Journal
528,Bone Research
529,Genomics
530,Ageing Research Reviews
531,Materials Horizons
532,Opto-Electronic Advances
533,Evolution Letters
534,Journal of Innovation and Knowledge
535,IEEE Transactions on Cognitive Communications and Networking
536,Translational Neurodegeneration
537,EcoMat
538,Biometrika
539,American Psychologist
540,Progress in Human Geography
541,Diabetologia
542,Journal of Interactive Marketing
543,International Journal of Research in Marketing
544,Tourism Management
545,Political Communication
546,Small
547,Trends in Chemistry
548,Journal of Hospitality Marketing and Management
549,Annals of Internal Medicine
550,Circulation: Arrhythmia and Electrophysiology
551,European Journal of Political Research
552,California Management Review
553,Astrophysical Journal
554,Sustainable Technology and Entrepreneurship
555,Proceedings of the Annual ACM Symposium on Theory of Computing
556,British Journal of Political Science
557,Mucosal Immunology
558,Higher Education for the Future
559,Nature Astronomy
560,Review of Environmental Economics and Policy
561,Clinical Infectious Diseases
562,Small Science
563,Human Resource Management Review
564,Seminars in Cancer Biology
565,Strategy Science
566,Frontiers in Ecology and the Environment
567,Angiogenesis
568,European Review of Social Psychology
569,IMF Economic Review
570,Journal of Advances in Modeling Earth Systems
571,iMeta
572,Forum of Mathematics
573,Microbiology and Molecular Biology Reviews
574,Artificial Intelligence Review
575,Monographs of the Society for Research in Child Development
576,Med
577,Journal of the European Mathematical Society
578,Econometrics Journal
579,Wiley Interdisciplinary Reviews: Climate Change
580,International Materials Reviews
581,Trends in Pharmacological Sciences
582,Journal of Strategic Information Systems
583,Computers and Education: Artificial Intelligence
584,Alzheimer's and Dementia
585,Annual Review of Nutrition
586,Memoirs of the American Mathematical Society
587,Journal of Supply Chain Management
588,Research Policy
589,Trends in Molecular Medicine
590,Journal of Economic Theory
591,Global Strategy Journal
592,Trends in Plant Science
593,Annals of Probability
594,JAMA Dermatology
595,eBioMedicine
596,EMBO Reports
597,JACC: Clinical Electrophysiology
598,Journal of Organizational Behavior
599,European Journal of Epidemiology
600,Critical Reviews in Environmental Science and Technology
601,Journal of Corporate Finance
602,Conservation Letters
603,Journal of Manufacturing Systems
604,Journal of Energy Chemistry
605,Earth System Dynamics
606,Pharmacology and Therapeutics
607,Public Administration Review
608,Ultrafast Science
609,Brain
610,Cold Spring Harbor perspectives in biology
611,Journal of Child Psychology and Psychiatry and Allied Disciplines
612,Clinical and Molecular Hepatology
613,Journal of Business Research
614,Kidney International Supplements
615,Plant Communications
616,Organizational Behavior and Human Decision Processes
617,IEEE Geoscience and Remote Sensing Magazine
618,Technological Forecasting and Social Change
619,Annual Review of Sociology
620,Small Methods
621,Wiley interdisciplinary reviews. RNA
622,IEEE Reviews in Biomedical Engineering
623,Systematic Biology
624,American Journal of Kidney Diseases
625,Annual Reviews in Control
626,Journal of Financial Intermediation
627,Clinical Gastroenterology and Hepatology
628,Clinical Microbiology and Infection
629,FEMS Microbiology Reviews
630,Contemporary Accounting Research
631,Environmental Science and Technology Letters
632,Gut Microbes
633,International Journal of Production Economics
634,Allergy: European Journal of Allergy and Clinical Immunology
635,Laser and Photonics Reviews
636,Journal of Management Information Systems
637,Blood advances
638,International Journal of Management Reviews
639,Annual Review of Statistics and Its Application
640,Autism in Adulthood
641,Current Opinion in Plant Biology
642,Annual Review of Materials Research
643,Physical Review Letters
644,Persoonia: Molecular Phylogeny and Evolution of Fungi
645,Acta Pharmaceutica Sinica B
646,Production and Operations Management
647,Annual review of biomedical data science
648,Molecular Metabolism
649,Dialogues in Clinical Neuroscience
650,Annals of PDE
651,Journal of Integrative Plant Biology
652,World Politics
653,American Journal of Obstetrics and Gynecology
654,Biomarker Research
655,Biomaterials
656,Transport Reviews
657,Environment international
658,European Heart Journal Cardiovascular Imaging
659,Journal of Operations Management
660,Redox Biology
661,New Phytologist
662,ACS Materials Letters
663,Thorax
664,British Journal of Cancer
665,Trends in Food Science and Technology
666,Plant Biotechnology Journal
667,Global Environmental Change
668,Journal of Retailing and Consumer Services
669,IEEE Journal of Emerging and Selected Topics in Power Electronics
670,Current Biology
671,Current Opinion in Neurobiology
672,Journal of Public Administration Research and Theory
673,Organizational Psychology Review
674,Seminars in Immunology
675,Critical Care
676,Computer-Aided Civil and Infrastructure Engineering
677,Engineered Regeneration
678,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS
679,JCI insight
680,npj Flexible Electronics
681,Environmental Science and Ecotechnology
682,Journal of Vocational Behavior
683,Implementation Science
684,Journal of Neurology
685,Communications of the ACM
686,Diabetes Technology and Therapeutics
687,Lancet Regional Health - Americas
688,Journal of Hazardous Materials
689,New Astronomy Reviews
690,Annual Review of Biomedical Engineering
691,npj Climate and Atmospheric Science
692,Communication Research
693,Trends in Microbiology
694,JACS Au
695,National Science Review
696,Analysis and PDE
697,Chinese Journal of Catalysis
698,Journal of Magnesium and Alloys
699,Journal of the National Cancer Center
700,Long Range Planning
701,Trends in Endocrinology and Metabolism
702,International Journal of Hospitality Management
703,Acta Materialia
704,Theranostics
705,Journal of Advertising
706,Applied Mechanics Reviews
707,Robotics and Computer-Integrated Manufacturing
708,Current Directions in Psychological Science
709,Aging Cell
710,SIAM Review
711,International Journal of Press/Politics
712,Europace
713,International Journal of Surgery
714,Journal of Internal Medicine
715,International Journal of Plasticity
716,European Respiratory Review
717,IEEE Transactions on Information Forensics and Security
718,Journal of Clinical Epidemiology
719,Cancer
720,JACC: Cardiovascular Interventions
721,Transportation Research
722,Eurosurveillance
723,JACC: CardioOncology
724,Journal of Bioresources and Bioproducts
725,IEEE Journal of Solid-State Circuits
726,Journal of Differential Geometry
727,IEEE Wireless Communications Letters
728,npj Precision Oncology
729,IEEE Transactions on Knowledge and Data Engineering
730,Cancer and Metastasis Reviews
731,Journal of the ACM
732,Proceedings - IEEE INFOCOM
733,Medicinal Research Reviews
734,Transportation Research Part C: Emerging Technologies
735,Biochar
736,Chemical Engineering Journal
737,Operations Research
738,International Journal of Contemporary Hospitality Management
739,Current Opinion in Immunology
740,Biochimica et Biophysica Acta - Reviews on Cancer
741,Studies in Science Education
742,Additive Manufacturing
743,Communications Earth and Environment
744,Journal of Neuroinflammation
745,Hypertension
746,Current Opinion in Structural Biology
747,npj Quantum Information
748,Journal of Sustainable Tourism
749,Applied Energy
750,Obesity Reviews
751,Journal of Cachexia
752,Journal of Environmental Economics and Management
753,Neuroscience and Biobehavioral Reviews
754,Cardiovascular Research
755,Milbank Quarterly
756,Developmental Review
757,Science Bulletin
758,Environmental Chemistry Letters
759,Journal of Experimental and Clinical Cancer Research
760,IEEE Open Journal of Industry Applications
761,Journal of Materials Chemistry A
762,BMJ
763,Composites Part B: Engineering
764,Nature Computational Science
765,Journal of Machine Learning Research
766,Alimentary Pharmacology and Therapeutics
767,Journal of Politics
768,Metabolism: Clinical and Experimental
769,Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development
770,Psychological Review
771,Nous
772,Annual Review of Criminology
773,Protection and Control of Modern Power Systems
774,Trauma
775,Journal of Educational Psychology
776,Work and Stress
777,Critical Reviews in Biochemistry and Molecular Biology
778,IEEE Transactions on Transportation Electrification
779,Resources
780,Information Systems Journal
781,Psychological Medicine
782,Astrophysical Journal Letters
783,Journal of Black Psychology
784,Clinical Child and Family Psychology Review
785,Annual Review of Phytopathology
786,Psychology and Marketing
787,British Journal of Dermatology
788,IEEE Transactions on Mobile Computing
789,Molecular Aspects of Medicine
790,Journal of the Association of Environmental and Resource Economists
791,Military Medical Research
792,Global Ecology and Biogeography
793,Journal of Sport and Health Science
794,Neuropsychopharmacology
795,IEEE Communications Standards Magazine
796,Comprehensive Reviews in Food Science and Food Safety
797,Criminology
798,Assessment and Evaluation in Higher Education
799,Business and Society
800,Psychological Science
801,Pattern Recognition
802,Annals of Surgery
803,CCS Chemistry
804,European urology oncology
805,British Journal of Psychiatry
806,Food Hydrocolloids
807,IEEE Vehicular Technology Magazine
808,IEEE Transactions on Vehicular Technology
809,IEEE Open Journal of the Communications Society
810,BMC Medicine
811,Child Development Perspectives
812,Journal of Statistical Software
813,Industrial Marketing Management
814,Journal of Crohn's and Colitis
815,Cellular and Molecular Gastroenterology and Hepatology
816,Human Resource Management Journal
817,Ecological Monographs
818,Genetics in Medicine
819,Seminars in Immunopathology
820,Journal of Industrial Information Integration
821,International Journal of Forecasting
822,JACC: Basic to Translational Science
823,American Journal of Transplantation
824,Journal of Population Economics
825,Political Behavior
826,Autoimmunity Reviews
827,Cold Spring Harbor Perspectives in Medicine
828,Circulation. Genomic and precision medicine
829,Journal of Infection
830,Globalization and Health
831,International Journal of Production Research
832,Proceedings of the VLDB Endowment
833,Annual Review of Animal Biosciences
834,Neurology: Neuroimmunology and NeuroInflammation
835,Applied Psychology
836,Journal of Family Business Strategy
837,Critical Care Medicine
838,International Journal of Epidemiology
839,Transportation Research Part B: Methodological
840,Journal of Communication
841,Advances in Colloid and Interface Science
842,Intelligent and Converged Networks
843,International Journal of Extreme Manufacturing
844,Omega
845,IEEE Transactions on Affective Computing
846,China Petroleum Exploration
847,Methods in Ecology and Evolution
848,Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire
849,Computers in Human Behavior
850,Digital Journalism
851,Proceedings of the ACM SIGMOD International Conference on Management of Data
852,IEEE Industrial Electronics Magazine
853,Journal of Health and Social Behavior
854,American Journal of Clinical Dermatology
855,Journal of Economic Surveys
856,Automation in Construction
857,Journal of Business Ethics
858,Cardiovascular Diabetology
859,Journal of Service Management
860,Tourism Geographies
861,Annals of the International Communication Association
862,Acta Psychiatrica Scandinavica
863,Seminars in Cell and Developmental Biology
864,Communications in Transportation Research
865,Alzheimer's Research and Therapy
866,American Journal of Hematology
867,Journal of Biomedical Science
868,Journal of Second Language Writing
869,Neural Networks
870,Progress in Neurobiology
871,Social Issues and Policy Review
872,Radiology: Artificial Intelligence
873,European Journal of Teacher Education
874,International Journal of Mining Science and Technology
875,Global Food Security
876,International journal of oral science
877,Cancer Letters
878,Information and Management
879,Technovation
880,Journal of Anxiety Disorders
881,European Journal of Personality
882,Cell Chemical Biology
883,Arteriosclerosis
884,International Journal of Advertising
885,Acta neuropathologica communications
886,IEEE Transactions on Intelligent Transportation Systems
887,Breast Cancer Research
888,Circulation: Cardiovascular Quality and Outcomes
889,International Journal of Educational Technology in Higher Education
890,Bioresource Technology
891,Family Business Review
892,Bioinformatics
893,Reviews in Aquaculture
894,Progress in Aerospace Sciences
895,Endocrine Pathology
896,Quantum
897,Journal of Autoimmunity
898,Progress in Energy
899,Energy Conversion and Management
900,JAMA Ophthalmology
901,Depression and Anxiety
902,International Business Review
903,Foundations of Computational Mathematics
904,Sustainable Cities and Society
905,International Journal of Operations and Production Management
906,Diabetes
907,Ecography
908,Nano Research
909,Trends in Biotechnology
910,Journal of Public Policy and Marketing
911,AVS Quantum Science
912,Proceedings of the London Mathematical Society
913,Small Business Economics
914,Journal of Occupational and Organizational Psychology
915,Polymer Reviews
916,Environmental Health Perspectives
917,Biotechnology Advances
918,IEEE Transactions on Signal Processing
919,GLIA
920,Stem Cell Reports
921,Journal of Metaverse
922,Current Opinion in Environmental Sustainability
923,Current Opinion in Genetics and Development
924,Biofuel Research Journal
925,Reviews in Environmental Science and Biotechnology
926,Supply Chain Management
927,Journal of Heart and Lung Transplantation
928,Journal of Business Logistics
929,European Journal of Cancer
930,Mathematical Programming Computation
931,ESMO Open
932,Ukrainian Journal of Physical Optics
933,Annual Review of Vision Science
934,Compositio Mathematica
935,Haematologica
936,Social Psychological and Personality Science
937,Journal des Mathematiques Pures et Appliquees
938,International Journal of Behavioral Nutrition and Physical Activity
939,Space Science Reviews
940,Progress of Theoretical and Experimental Physics
941,Critical Finance Review
942,Quarterly Review of Biology
943,Epidemiology and Psychiatric Sciences
944,Journal of Photochemistry and Photobiology C: Photochemistry Reviews
945,Transportation Science
946,EcoSal Plus
947,Gender
948,eTransportation
949,IEEE Transactions on Intelligent Vehicles
950,Molecular Ecology Resources
951,Journal of Climate
952,Journal of Marriage and Family
953,Movement Disorders
954,Cytokine and Growth Factor Reviews
955,npj 2D Materials and Applications
956,Investigative Radiology
957,SciPost Physics Lecture Notes
958,Structure
959,NAR Genomics and Bioinformatics
960,Computers in Industry
961,Journal of Destination Marketing and Management
962,Stroke
963,BMJ Global Health
964,Big Data and Society
965,Cell Death and Disease
966,npj Computational Materials
967,Cell Reports Physical Science
968,Journal of Computer-Mediated Communication
969,Earth's Future
970,Journal of Health Economics
971,Business Horizons
972,Brain Stimulation
973,journal of prevention of Alzheimer's disease
974,Materials Research Letters
975,Engineering Geology
976,Pediatrics
977,Communications in Partial Differential Equations
978,NeuroImage
979,Organization
980,Political Science Research and Methods
981,Soft Robotics
982,Research Policy: X
983,Internet and Higher Education
984,Journal of Pathology
985,British Journal of Educational Technology
986,Clinical and Translational Medicine
987,Chemistry of Materials
988,Current Opinion in Solid State and Materials Science
989,Annales Scientifiques de l'Ecole Normale Superieure
990,Journal of Network and Computer Applications
991,Current Opinion in Psychology
992,RNA
993,Wiley Interdisciplinary Reviews: Water
994,Neurology
995,IEEE Transactions on Geoscience and Remote Sensing
996,Anaesthesia
997,British Journal of Anaesthesia
998,Computer Methods in Applied Mechanics and Engineering
999,Behavior Research Methods
1000,Clinical journal of the American Society of Nephrology : CJASN
1001,West European Politics
1002,American Journal of Gastroenterology
1003,Surface Science Reports
1004,Energy Policy
1005,Global Biogeochemical Cycles
1006,Journal of Infectious Diseases
1007,Journal of Consulting and Clinical Psychology
1008,Experimental Hematology and Oncology
1009,Quarterly Reviews of Biophysics
1010,International Journal of Nursing Studies
1011,Pain
1012,Psychometrika
1013,Environmental Politics
1014,SIAM Journal on Mathematical Analysis
1015,Economic Geology
1016,Science of Remote Sensing
1017,BioScience
1018,Computer Assisted Language Learning
1019,Resources
